S|P|O
Salmonella enterica subsp. enterica serovar Typhi|produces|lipopolysaccharide
lipopolysaccharide|regulates|interleukin-6 (human)
interleukin-6 (human)|regulates|Toll-like receptor 4 (human)
Toll-like receptor 4 (human)|regulates|microglial cell
microglial cell|involved in|inflammatory response
inflammatory response|influences|parkinson disease
